City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Hobart,-42.8794,147.3294,58.12,50,75,16.11,AU,1628221700
Lüderitz,-26.6481,15.1594,54.05,75,33,0.96,NA,1628221700
Jamestown,42.097,-79.2353,67.59,81,20,2.75,US,1628221701
Bambous Virieux,-20.3428,57.7575,66.22,88,40,4.61,MU,1628221701
Lorengau,-2.0226,147.2712,83.32,79,18,11.16,PG,1628221701
Kuminskiy,58.6667,66.5667,66.83,90,100,5.3,RU,1628221701
Tasiilaq,65.6145,-37.6368,36.23,78,14,4.54,GL,1628221702
Umluj,25.0213,37.2685,87.85,64,1,3.18,SA,1628221702
Luorong,24.4058,109.6086,89.85,66,91,0.6,CN,1628221702
Evensk,61.95,159.2333,58.89,57,67,30.56,RU,1628221703
Hilo,19.7297,-155.09,80.33,82,40,6.91,US,1628221703
Mount Darwin,-16.7725,31.5838,49.15,69,0,1.7,ZW,1628221703
Korla,41.7597,86.1469,89.47,16,100,10.6,CN,1628221704
Saint George,37.1041,-113.5841,100.99,13,1,1.01,US,1628221508
Karratha,-20.7377,116.8463,77.68,25,21,25.3,AU,1628221704
Kasongo,-4.45,26.6667,75.69,49,62,3.74,CD,1628221704
Lyubech,51.7026,30.6569,65.19,88,100,11.95,UA,1628221705
Gorontalo,0.5412,123.0595,87.39,65,88,8.41,ID,1628221705
Labuhan,-6.8844,112.2051,87.96,57,85,11.72,ID,1628221705
Yellowknife,62.456,-114.3525,58.28,58,20,5.75,CA,1628221706
Atuona,-9.8,-139.0333,78.03,75,27,14.38,PF,1628221706
Rikitea,-23.1203,-134.9692,74.16,75,10,14.5,PF,1628221706
Vaini,-21.2,-175.2,77.16,78,20,13.8,TO,1628221707
Kargasok,59.0556,80.8572,70.74,68,36,4.09,RU,1628221707
Puerto Ayora,-0.7393,-90.3518,71.55,92,68,7.0,EC,1628221707
Albany,42.6001,-73.9662,66.88,91,4,3.58,US,1628221707
Progreso,21.2833,-89.6667,81.81,76,3,15.97,MX,1628221708
Saint-Pierre,-21.3393,55.4781,67.64,64,40,4.61,RE,1628221708
Thompson,55.7435,-97.8558,53.76,71,90,3.44,CA,1628221508
Tevaitoa,-16.7833,-151.5,78.69,71,66,5.88,PF,1628221708
San Patricio,28.017,-97.5169,82.83,75,100,6.35,US,1628221709
Carnarvon,-24.8667,113.6333,75.27,31,75,16.11,AU,1628221698
Bilibino,68.0546,166.4372,72.18,43,9,8.12,RU,1628221709
Chiredzi,-21.05,31.6667,54.9,63,0,3.13,ZW,1628221709
Yeppoon,-23.1333,150.7333,73.18,45,97,7.67,AU,1628221710
Cape Town,-33.9258,18.4232,53.11,91,0,1.14,ZA,1628221710
Mataura,-46.1927,168.8643,49.48,82,79,4.34,NZ,1628221710
North Bend,43.4065,-124.2243,64.92,91,1,4.61,US,1628221711
Talnakh,69.4865,88.3972,76.91,49,87,1.61,RU,1628221711
Puri,19.8,85.85,88.32,65,75,6.42,IN,1628221711
Pacasmayo,-7.4006,-79.5714,62.94,89,1,9.17,PE,1628221712
Busselton,-33.65,115.3333,64.04,66,0,14.97,AU,1628221666
Benghazi,32.1167,20.0667,83.46,54,0,2.08,LY,1628221548
Mount Isa,-20.7333,139.5,69.57,21,3,11.5,AU,1628221712
Cabo San Lucas,22.8909,-109.9124,84.51,77,88,3.0,MX,1628221712
Caravelas,-17.7125,-39.2481,70.5,70,100,9.46,BR,1628221713
Yulara,-25.2406,130.9889,62.44,34,0,13.8,AU,1628221713
Anchorage,61.2181,-149.9003,70.75,72,1,8.05,US,1628221508
Livingston,55.9029,-3.5226,58.86,94,75,9.22,GB,1628221401
Ushuaia,-54.8,-68.3,38.86,65,75,17.27,AR,1628221714
Muros,42.7762,-9.0603,64.24,89,97,2.75,ES,1628221714
Nantucket,41.2835,-70.0995,69.03,98,100,12.24,US,1628221714
Bengkulu,-3.8004,102.2655,84.09,66,93,2.98,ID,1628221714
Kuching,1.55,110.3333,88.02,70,40,2.3,MY,1628221715
George Town,5.4112,100.3354,89.53,68,20,2.3,MY,1628221715
Rockland,41.1668,-74.0496,72.23,90,89,3.58,US,1628221715
Severo-Kuril'sk,50.6789,156.125,56.43,62,3,14.61,RU,1628221716
New Norfolk,-42.7826,147.0587,57.76,60,94,8.01,AU,1628221716
Ulaangom,49.9811,92.0667,60.42,72,100,3.31,MN,1628221716
Kapaa,22.0752,-159.319,82.72,75,75,4.0,US,1628221716
Sergeevka,53.88,67.4158,78.35,48,86,7.58,KZ,1628221717
Mar del Plata,-38.0023,-57.5575,55.09,28,90,1.01,AR,1628221500
Pueblo,38.2545,-104.6091,84.78,42,1,5.99,US,1628221452
Chicama,-7.8447,-79.1469,64.38,84,3,4.81,PE,1628221717
Provideniya,64.3833,-173.3,55.51,58,75,13.42,RU,1628221718
Sisimiut,66.9395,-53.6735,44.26,93,100,15.08,GL,1628221718
Ancud,-41.8697,-73.8203,50.23,86,100,12.77,CL,1628221718
Hong Kong,22.2855,114.1577,86.05,99,100,12.48,HK,1628221583
Babu,24.4167,111.5167,91.92,62,95,6.58,CN,1628221719
Tsiroanomandidy,-18.7667,46.0333,56.32,73,54,2.98,MG,1628221720
Norman Wells,65.282,-126.8329,69.84,56,40,5.75,CA,1628221720
Dingle,10.9995,122.6711,89.62,58,82,16.82,PH,1628221721
Nanortalik,60.1432,-45.2371,45.88,96,100,2.06,GL,1628221721
Waipawa,-41.4122,175.5153,50.63,89,97,3.4,NZ,1628221721
Punta Arenas,-53.15,-70.9167,33.91,100,75,21.85,CL,1628221722
Bireun,5.203,96.7009,86.88,51,70,5.17,ID,1628221722
Ust-Tsilma,65.441,52.1498,52.27,91,100,6.38,RU,1628221722
Dois Vizinhos,-25.7336,-53.0572,59.97,70,100,6.15,BR,1628221723
Airai,-8.9266,125.4092,74.3,41,77,5.79,TL,1628221723
Upernavik,72.7868,-56.1549,42.85,67,24,5.61,GL,1628221723
Poum,-20.2333,164.0167,69.73,61,97,24.02,NC,1628221723
Bluff,-46.6,168.3333,49.8,75,42,16.13,NZ,1628221724
Mayor Pablo Lagerenza,-19.9309,-60.7718,64.27,41,0,4.27,PY,1628221724
Banda Aceh,5.5577,95.3222,87.55,59,38,14.65,ID,1628221601
Meulaboh,4.1363,96.1285,85.64,60,93,3.85,ID,1628221724
Jining,35.405,116.5814,89.13,61,33,4.0,CN,1628221725
Tuktoyaktuk,69.4541,-133.0374,42.8,93,90,19.57,CA,1628221725
Qaqortoq,60.7167,-46.0333,46.9,96,100,3.29,GL,1628221725
Princeton,25.5384,-80.4089,85.01,85,40,0.0,US,1628221726
Lompoc,34.6391,-120.4579,70.38,83,90,13.8,US,1628221726
Kavieng,-2.5744,150.7967,83.64,72,50,13.13,PG,1628221726
Mitsamiouli,-11.3847,43.2844,75.0,70,18,8.3,KM,1628221726
Fortuna,40.5982,-124.1573,62.92,71,90,1.99,US,1628221727
Werda,-25.2667,23.2833,52.86,42,3,3.42,BW,1628221727
Port Augusta,-32.5,137.7667,59.7,45,98,6.71,AU,1628221727
Torbay,47.6666,-52.7314,66.67,78,40,17.27,CA,1628221728
Bathsheba,13.2167,-59.5167,81.21,78,40,18.41,BB,1628221728
Constitución,-35.3333,-72.4167,50.29,89,100,2.66,CL,1628221728
Saldanha,-33.0117,17.9442,42.85,84,0,3.6,ZA,1628221728
Police,53.5521,14.5718,59.95,95,100,4.21,PL,1628221729
Barrow,71.2906,-156.7887,37.42,84,90,20.71,US,1628221729
Pacific Grove,36.6177,-121.9166,66.63,89,90,1.01,US,1628221729
Cabo Rojo,18.0866,-67.1457,80.78,86,9,5.7,PR,1628221730
Boké,10.9409,-14.2967,73.56,97,100,3.94,GN,1628221730
Port Blair,11.6667,92.75,83.25,82,100,19.91,IN,1628221730
Notsé,6.95,1.1667,69.82,96,77,4.27,TG,1628221731
San Mateo Ixtatán,15.8319,-91.4781,54.95,99,100,1.95,GT,1628221731
Hasaki,35.7333,140.8333,95.29,71,11,8.75,JP,1628221731
Mahébourg,-20.4081,57.7,66.25,88,40,4.61,MU,1628221731
Nemuro,43.3236,145.575,75.63,94,86,7.61,JP,1628221732
Mehamn,71.0357,27.8492,51.75,93,0,3.44,NO,1628221732
Kungurtug,50.5994,97.5228,62.51,79,94,2.89,RU,1628221732
Bredasdorp,-34.5322,20.0403,54.28,93,93,4.61,ZA,1628221733
Hirara,24.8,125.2833,89.87,79,75,19.57,JP,1628221733
Panabá,21.2833,-88.2667,79.32,74,32,9.24,MX,1628221733
Bundaberg,-24.85,152.35,73.69,33,83,5.75,AU,1628221733
Broome,42.2506,-75.833,65.68,82,0,1.81,US,1628221734
Mount Gambier,-37.8333,140.7667,53.51,87,90,12.66,AU,1628221734
Bethel,41.3712,-73.414,69.89,90,1,3.44,US,1628221734
Shuangcheng,45.35,126.2833,78.48,61,100,7.9,CN,1628221735
Corvallis,44.5646,-123.262,72.28,76,1,1.99,US,1628221735
Taoudenni,22.6783,-3.9836,97.57,25,20,15.46,ML,1628221735
Tiznit Province,29.5833,-9.5,68.49,76,0,2.17,MA,1628221736
Chokurdakh,70.6333,147.9167,45.37,70,99,10.71,RU,1628221673
Hermanus,-34.4187,19.2345,54.81,83,24,8.57,ZA,1628221736
Marsá Maţrūḩ,31.3525,27.2453,82.6,78,0,11.5,EG,1628221736
Klyuchi,52.2667,79.1667,73.62,49,16,7.49,RU,1628221737
Saint Paul Harbor,57.79,-152.4072,56.71,88,90,5.75,US,1628221737
Port Alfred,-33.5906,26.891,59.85,88,4,15.12,ZA,1628221737
Ürümqi,43.801,87.6005,83.35,23,0,4.47,CN,1628221636
Cherskiy,68.75,161.3,60.42,57,37,8.84,RU,1628221738
La Libertad,-2.2333,-80.9,69.62,82,78,9.48,EC,1628221738
Valparaíso,-33.0393,-71.6273,52.48,85,0,5.75,CL,1628221738
Olafsvik,64.8945,-23.7142,53.15,84,23,5.21,IS,1628221738
Luwuk,-0.9516,122.7875,83.08,80,100,7.52,ID,1628221739
Akşehir,38.3575,31.4164,73.4,39,0,0.6,TR,1628221739
Córdoba,-31.4135,-64.1811,60.6,58,0,3.0,AR,1628221702
Northam,51.0333,-4.2167,61.66,96,82,20.58,GB,1628221739
Bondo,3.8146,23.6866,67.71,99,100,1.68,CD,1628221740
Santarém,-2.4431,-54.7083,75.33,100,0,3.44,BR,1628221740
Port Elizabeth,-33.918,25.5701,59.29,94,90,13.8,ZA,1628221740
Kiboga,0.9161,31.7742,64.67,71,83,0.54,UG,1628221741
Laguna,38.421,-121.4238,82.9,54,1,1.99,US,1628221741
Kaitangata,-46.2817,169.8464,54.93,58,21,4.59,NZ,1628221741
Udachny,66.4167,112.4,64.58,31,3,21.5,RU,1628221742
Santa Barbara,34.7333,-120.0343,65.34,84,0,4.47,US,1628221713
Comodoro Rivadavia,-45.8667,-67.5,55.26,35,0,16.11,AR,1628221742
Lebu,-37.6167,-73.65,50.14,89,100,8.39,CL,1628221742
Khovd,48.0056,91.6419,70.0,24,3,6.85,MN,1628221655
Behshahr,36.6923,53.5526,75.15,39,0,3.65,IR,1628221743
Ribeira Grande,38.5167,-28.7,73.18,93,57,16.58,PT,1628221743
Lavrentiya,65.5833,-171.0,49.95,96,100,2.98,RU,1628221743
Kaeo,-35.1,173.7833,55.85,88,52,14.09,NZ,1628221743
Saint-Philippe,-21.3585,55.7679,67.55,71,31,11.05,RE,1628221744
Contai,21.7786,87.7536,89.89,64,36,1.1,IN,1628221744
Holland,42.7875,-86.1089,72.05,62,1,4.61,US,1628221744
Beloha,-25.1667,45.05,61.63,59,0,4.61,MG,1628221745
Cidreira,-30.1811,-50.2056,60.55,94,100,15.52,BR,1628221745
Solnechnyy,50.7214,136.6319,58.91,99,100,2.95,RU,1628221745
Dikson,73.5069,80.5464,47.01,95,24,5.12,RU,1628221746
Vila Velha,-20.3297,-40.2925,62.55,94,40,2.3,BR,1628221746
Khatanga,71.9667,102.5,72.48,29,3,13.4,RU,1628221746
Butaritari,3.0707,172.7902,83.17,65,9,11.27,KI,1628221746
Badamdar,40.3394,49.8039,78.75,58,0,11.1,AZ,1628221747
Tazovsky,67.4667,78.7,67.64,60,37,5.46,RU,1628221747
Port Lincoln,-34.7333,135.8667,58.62,62,96,11.88,AU,1628221748
Juneau,58.3019,-134.4197,66.2,85,75,4.61,US,1628221691
Aykhal,66.0,111.5,63.7,30,6,21.54,RU,1628221748
Piaçabuçu,-10.4056,-36.4344,71.82,86,17,8.72,BR,1628221748
Coahuayana Viejo,18.7333,-103.6833,77.45,91,100,2.26,MX,1628221749
Avarua,-21.2078,-159.775,77.05,57,75,2.3,CK,1628221749
Tchaourou,8.8865,2.5975,69.51,98,98,3.31,BJ,1628221749
Mashhad,36.297,59.6062,86.14,28,0,9.22,IR,1628221750
San Cristobal,7.7669,-72.225,66.15,98,91,5.01,VE,1628221750
Kruisfontein,-34.0033,24.7314,55.89,90,40,6.17,ZA,1628221750
Coyhaique,-45.5752,-72.0662,40.95,87,75,3.44,CL,1628221750
Hays,30.0502,-98.0336,77.95,89,92,5.91,US,1628221751
Novy Urengoy,66.0833,76.6333,74.62,50,9,4.45,RU,1628221751
Sohag,26.557,31.6948,79.09,16,0,1.12,EG,1628221751
Itarema,-2.9248,-39.9167,77.68,78,34,13.85,BR,1628221752
Brae,60.3964,-1.353,57.11,95,67,15.01,GB,1628221658
Izhma,65.0083,53.9113,54.37,77,100,6.38,RU,1628221752
Chui,-33.6971,-53.4616,55.87,96,32,9.13,UY,1628221752
Krasnoarmiys'k,48.282,37.1758,72.0,60,43,5.61,UA,1628221753
Port Shepstone,-30.7414,30.455,61.9,74,1,7.02,ZA,1628221753
Bridgetown,13.1,-59.6167,81.09,78,40,18.41,BB,1628221753
Yadrin,55.9405,46.2062,64.76,50,81,4.72,RU,1628221753
Taltal,-25.4,-70.4833,58.44,69,11,3.29,CL,1628221664
Castro,-24.7911,-50.0119,48.25,94,100,5.61,BR,1628221470
Vana-Vigala,58.7806,24.2522,50.85,70,0,5.23,EE,1628221754
Plungė,55.9114,21.8442,54.19,79,99,13.38,LT,1628221754
Fichē,9.8,38.7333,48.47,85,79,0.56,ET,1628221755
Maniitsoq,65.4167,-52.9,43.0,93,90,19.71,GL,1628221755
Aksarka,66.5606,67.7975,71.85,57,6,9.19,RU,1628221755
Sitka,57.0531,-135.33,62.49,72,90,6.91,US,1628221755
Yovon,38.3141,69.0378,85.68,15,2,4.74,TJ,1628221756
Hashtgerd,35.9642,50.6858,77.56,35,69,2.89,IR,1628221756
Tarauacá,-8.1614,-70.7656,71.85,54,8,1.21,BR,1628221756
Cocobeach,1.0002,9.5823,76.93,85,24,5.46,GA,1628221757
Alofi,-19.0595,-169.9187,78.69,69,40,5.75,NU,1628221757
Esperance,-33.8667,121.9,64.24,53,0,12.66,AU,1628221757
Fairbanks,64.8378,-147.7164,82.36,45,1,1.01,US,1628221531
College,64.8569,-147.8028,82.35,45,75,8.05,US,1628221758
Ixtapa,20.7,-105.2,75.22,98,100,3.22,MX,1628221758
Makakilo City,21.3469,-158.0858,82.72,62,75,18.41,US,1628221758
Lithakia,37.7167,20.8333,80.58,78,0,0.0,GR,1628221758
Gurupi,-11.7292,-49.0686,73.44,34,52,6.02,BR,1628221759
Paraná,-31.732,-60.5238,58.57,86,68,7.27,AR,1628221759
Ust-Nera,64.5667,143.2,59.67,42,99,6.69,RU,1628221759
Ilava,48.9977,18.2353,62.55,86,100,3.2,SK,1628221760
Thunder Bay,48.4001,-89.3168,69.78,88,90,5.75,CA,1628221497
Östersund,63.1792,14.6357,55.85,76,97,8.05,SE,1628221760
Coxim,-18.5067,-54.76,68.22,29,51,3.56,BR,1628221760
Tolaga Bay,-38.3667,178.3,59.61,62,52,2.93,NZ,1628221760
Tobol,52.6844,62.5794,76.44,55,63,8.21,KZ,1628221761
Sorrento,40.626,14.3744,75.25,73,90,11.65,IT,1628221753
Sinnamary,5.3833,-52.95,75.69,87,68,1.99,GF,1628221761
Dicabisagan,17.0818,122.4157,94.06,53,83,13.71,PH,1628221761
Anshun,26.25,105.9333,82.56,58,53,2.77,CN,1628221762
Beringovskiy,63.05,179.3167,49.84,83,98,7.31,RU,1628221762
Davila,18.4726,120.5763,85.98,88,100,29.97,PH,1628221762
Hachinohe,40.5,141.5,88.83,64,24,8.9,JP,1628221763
Kargopol',61.5071,38.9456,56.79,67,100,4.7,RU,1628221763
Le Vauclin,14.5452,-60.8388,81.84,89,75,8.05,MQ,1628221763
Kenai,60.5544,-151.2583,64.49,75,75,6.91,US,1628221494
Onokhoy,51.932,108.0747,73.15,39,28,6.15,RU,1628221764
Omboué,-1.5746,9.2618,73.18,89,3,4.83,GA,1628221764
Catalina,32.5056,-110.9211,94.86,40,19,1.99,US,1628221467
Chulym,55.0997,80.9572,69.37,64,65,13.47,RU,1628221764
Uusikaupunki,60.8004,21.4084,46.92,80,7,5.14,FI,1628221764
Gizo Government Station,-8.103,156.8419,82.74,68,68,16.06,SB,1628221765
Kalemie,-5.9475,29.1947,72.34,58,66,2.15,CD,1628221765
Majene,-3.5403,118.9707,84.09,67,100,8.99,ID,1628221765
Columbia,34.0007,-81.0348,74.75,86,40,1.01,US,1628221500
Jiamusi,46.8333,130.35,86.38,41,95,16.11,CN,1628221766
Pindi Bhattian,31.8978,73.273,95.97,46,9,9.91,PK,1628221766
Staraya Russa,57.9944,31.3608,55.2,97,100,6.62,RU,1628221766
Causapscal,48.3542,-67.227,64.94,93,100,4.27,CA,1628221767
Srednekolymsk,67.45,153.6833,50.38,72,100,11.01,RU,1628221767
Tiksi,71.6872,128.8694,41.72,87,99,17.98,RU,1628221767
Baruun-Urt,46.6806,113.2792,78.03,36,3,10.98,MN,1628221767
Roald,62.5833,6.1333,60.33,88,92,9.22,NO,1628221768
Yar-Sale,66.8333,70.8333,66.69,63,100,7.0,RU,1628221768
Faanui,-16.4833,-151.75,78.8,73,94,6.64,PF,1628221768
Hongjiang,27.11,109.9956,94.84,47,56,6.17,CN,1628221769
Ilulissat,69.2167,-51.1,50.02,66,75,12.66,GL,1628221769
Yendi,9.4427,-0.0099,71.98,95,99,4.59,GH,1628221769
Lensk,60.7253,114.9278,75.43,46,100,6.91,RU,1628221770
Vestmannaeyjar,63.4427,-20.2734,53.92,83,46,1.81,IS,1628221548
Hofn,64.2539,-15.2082,52.66,86,92,1.52,IS,1628221770
Bonavista,48.6499,-53.1147,65.12,77,99,13.76,CA,1628221770
Claveria,18.6074,121.0832,88.92,65,99,15.61,PH,1628221771
Iqaluit,63.7506,-68.5145,42.53,75,90,8.01,CA,1628221771
Richards Bay,-28.783,32.0377,59.0,91,0,8.14,ZA,1628221771
Mareeba,-17.0,145.4333,74.44,51,82,5.7,AU,1628221772
Estância,-11.2683,-37.4383,76.48,95,17,2.44,BR,1628221611
Sekoma,-24.4,23.8833,52.02,46,61,5.06,BW,1628221772
Hambantota,6.1241,81.1185,84.54,84,20,11.5,LK,1628221772
Laas,46.6166,10.7002,54.48,83,90,2.68,IT,1628221773
Souillac,-20.5167,57.5167,66.36,88,40,4.61,MU,1628221773
Freeport,40.6576,-73.5832,73.76,90,1,4.0,US,1628221773
Anloga,5.7947,0.8973,77.22,89,69,10.96,GH,1628221773
San Quintín,30.4833,-115.95,67.62,86,9,8.1,MX,1628221774
Manono,-7.3,27.4167,73.56,34,47,4.47,CD,1628221774
Ust'-Omchug,61.15,149.6333,41.79,88,100,10.94,RU,1628221774
Portland,45.5234,-122.6762,77.9,66,1,3.0,US,1628221380
Arrondissement du Havre,49.5833,0.3333,61.45,88,90,19.57,FR,1628221775
Avera,33.194,-82.5271,75.07,83,6,5.5,US,1628221775
Gouré,13.9835,10.2704,80.02,63,35,14.92,NE,1628221775
Banganapalle,15.3167,78.2333,86.02,55,89,19.46,IN,1628221776
Härnösand,62.6323,17.9379,60.8,83,97,5.7,SE,1628221776
Yumen,40.2833,97.2,87.3,11,22,8.5,CN,1628221776
Aldan,58.6031,125.3894,68.76,61,100,10.87,RU,1628221776
Arlit,18.7369,7.3853,89.19,40,6,6.98,NE,1628221777
Turukhansk,65.8167,87.9833,74.59,39,73,14.54,RU,1628221777
Verkhnevilyuysk,63.4453,120.3167,76.12,26,0,7.76,RU,1628221778
Borzna,51.2546,32.4269,68.07,66,97,11.74,UA,1628221778
Lethem,3.3803,-59.7968,72.84,92,72,2.93,GY,1628221778
Vao,-22.6667,167.4833,68.32,59,82,18.99,NC,1628221779
Grindavik,63.8424,-22.4338,53.55,100,75,3.44,IS,1628221779
Narni,42.5171,12.5231,66.54,78,97,3.06,IT,1628221779
